,info,infoHeilights,course,yearlyPkgAvg,rank,cutoff
"Suri Vidyasagar College, Birbhum",None,,"{'BA Morning Shift': {'duration': '3 Years', 'fees': '6.36 K'}, 'BA Day Shift': {'duration': '3 Years', 'fees': '6.36 K'}, 'B.Sc': {'duration': '3 Years', 'fees': '8.64 K'}, 'B.Com': {'duration': '3 Years', 'fees': '7.05 K'}, 'B.Com Accountancy Hons': {'duration': '3 Years', 'fees': '8.24 K'}, 'BA Bengali Hons': {'duration': '3 Years', 'fees': '7.55 K'}, 'BA English Hons': {'duration': '3 Years', 'fees': '7.55 K'}, 'BA History Hons': {'duration': '3 Years', 'fees': '7.55 K'}, 'BA Philosophy Hons': {'duration': '3 Years', 'fees': '7.55 K'}, 'BA Political Science Hons': {'duration': '3 Years', 'fees': '7.55 K'}, 'BA Sanskrit Hons': {'duration': '3 Years', 'fees': '7.55 K'}, 'B.Sc Mathematics Hons': {'duration': '3 Years', 'fees': '9.60 K'}, 'BA Arabic Hons': {'duration': '3 Years', 'fees': '7.55 K'}, 'B.Sc Microbiology Hons': {'duration': '3 Years', 'fees': '9.60 K'}, 'B.Sc Botany Hons': {'duration': '3 Years', 'fees': '9.60 K'}, 'B.Sc Chemistry Hons': {'duration': '3 Years', 'fees': '9.60 K'}, 'B.Sc Physics Hons': {'duration': '3 Years', 'fees': '9.60 K'}, 'B.Sc Zoology Hons': {'duration': '3 Years', 'fees': '9.60 K'}, 'B.Sc Physiology Hons': {'duration': '3 Years', 'fees': '9.60 K'}, 'BA Economics Hons': {'duration': '3 Years', 'fees': '7.55 K'}, 'BA Mass Communication and Journalism Hons': {'duration': '3 Years', 'fees': '7.55 K'}, 'BA Geography Hons': {'duration': '3 Years', 'fees': '7.55 K'}, 'M.Sc Zoology': {'duration': '2 Years', 'fees': None}, 'B.Sc Computer Science': {'duration': '3 Years', 'fees': '8.64 K'}, 'B.Sc Plant Protection': {'duration': '3 Years', 'fees': '8.64 K'}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Dr Bhupendra Nath Dutta Smriti Mahavidyalaya, Burdwan",None,,"{'BA': {'duration': '3 Years', 'fees': None}, 'BA II Shift': {'duration': '3 Years', 'fees': None}, 'B.Sc': {'duration': '3 Years', 'fees': None}, 'B.Com': {'duration': '3 Years', 'fees': None}, 'BA Bengali Hons': {'duration': '3 Years', 'fees': None}, 'BA History Hons': {'duration': '3 Years', 'fees': None}, 'BA English Hons': {'duration': '3 Years', 'fees': None}, 'B.Com Accountancy Hons': {'duration': '3 Years', 'fees': None}, 'BA Sanskrit Hons': {'duration': '3 Years', 'fees': None}, 'BA Political Science Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Mathematics Hons': {'duration': '3 Years', 'fees': None}, 'BA Philosophy Hons': {'duration': '3 Years', 'fees': None}, 'BA Geography Hons': {'duration': '3 Years', 'fees': None}, 'BA Mass Communication and Journalism Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Nutrition Hons': {'duration': '3 Years', 'fees': None}, 'BA Music Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Botany Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Chemistry Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Zoology Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Geography Hons': {'duration': '3 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Kandra Radhakanta Kundu Mahavidyalaya, Burdwan",None,,"{'BA': {'duration': '3 Years', 'fees': None}, 'BA Bengali Hons': {'duration': '3 Years', 'fees': None}, 'BA History Honours': {'duration': '3 Years', 'fees': None}, 'BA English Honours': {'duration': '3 Years', 'fees': None}, 'BA Sanskrit Honours': {'duration': '3 Years', 'fees': None}, 'B.Sc Geography Honours': {'duration': '3 Years', 'fees': None}, 'BA Geography Honours': {'duration': '3 Years', 'fees': None}, 'BA Education Honours': {'duration': '3 Years', 'fees': None}, 'BA Mass Communication and Journalism Honours': {'duration': '3 Years', 'fees': None}, 'B.Sc Mathematics Honours': {'duration': '3 Years', 'fees': None}, 'B.Sc': {'duration': '3 Years', 'fees': None}, 'BA Economics Hons': {'duration': '3 Years', 'fees': None}, 'BA Philosophy Honours': {'duration': '3 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Aghorekamini Prakashchandra Mahavidyalaya, Hooghly",None,,"{'BA': {'duration': '3 Years', 'fees': None}, 'B.Com': {'duration': '3 Years', 'fees': None}, 'BA Bengali Hons': {'duration': '3 Years', 'fees': None}, 'BA Sanskrit Hons': {'duration': '3 Years', 'fees': None}, 'B.Com Accountancy Hons': {'duration': '3 Years', 'fees': None}, 'BA History Hons': {'duration': '3 Years', 'fees': None}, 'BA Philosophy Hons': {'duration': '3 Years', 'fees': None}, 'BA Political Science Hons': {'duration': '3 Years', 'fees': None}, 'BA English Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc': {'duration': '3 Years', 'fees': None}, 'B.Sc Mathematics Hons': {'duration': '3 Years', 'fees': None}, 'BA Education Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Chemistry Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Nutrition Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Physics Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Environmental Science Hons': {'duration': '3 Years', 'fees': None}, 'BA Music Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Zoology Hons': {'duration': '3 Years', 'fees': None}, 'BA Geography Hons': {'duration': '3 Years', 'fees': None}, 'BA Sociology Hons': {'duration': '3 Years', 'fees': None}, 'BA Santali Hons': {'duration': '3 Years', 'fees': None}, 'BA Mass Communication and Journalism Hons': {'duration': '3 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Uttranchal Institute of Hospitality Management and Tourism, Dehradun",None,,"{'B.Com': {'duration': '3 Years', 'fees': None}, 'B.Sc Information Technology': {'duration': '3 Years', 'fees': None}, 'BA': {'duration': '3 Years', 'fees': None}, 'Bachelor Of Tourism Studies': {'duration': '3 Years', 'fees': None}, 'BBA': {'duration': '3 Years', 'fees': None}, 'BCA': {'duration': '3 Years', 'fees': None}, 'M.Com': {'duration': '2 Years', 'fees': None}, 'M.Sc Information Technology': {'duration': '2 Years', 'fees': None}, 'MA Economics': {'duration': '2 Years', 'fees': None}, 'MA Hindi': {'duration': '2 Years', 'fees': None}, 'MA History': {'duration': '2 Years', 'fees': None}, 'MA Journalism and Mass Communication': {'duration': '2 Years', 'fees': None}, 'MA Political Science': {'duration': '2 Years', 'fees': None}, 'MA Public Administration': {'duration': '2 Years', 'fees': None}, 'MA Sanskrit': {'duration': '2 Years', 'fees': None}, 'MA Sociology': {'duration': '2 Years', 'fees': None}, 'MBA': {'duration': '2 Years', 'fees': None}, 'MCA': {'duration': '3 Years', 'fees': None}, 'MSW': {'duration': '2 Years', 'fees': None}, 'MTTM': {'duration': '2 Years', 'fees': None}, 'PGDCA': {'duration': None, 'fees': None}, 'Post Graduate Diploma In Cyber Law': {'duration': None, 'fees': None}, 'Post Graduate Diploma In Journalism and Mass Communication': {'duration': None, 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Nitte Institute of Communication, Mangalore",None,,"{'BA Journalism and Mass Communication': {'duration': '3 Years', 'fees': None}, 'MA Journalism and Mass Communication': {'duration': '2 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Chitkara School of Art and Design, Jhansla",None,,"{'B.Des Game Design': {'duration': '4 Years', 'fees': '4.80 Lakhs'}, 'B.Des User Interface': {'duration': '4 Years', 'fees': None}, 'B.Des Visual Communication': {'duration': '4 Years', 'fees': '4.98 Lakhs'}, 'B.Sc Animation': {'duration': '3 Years', 'fees': '3.60 Lakhs'}, 'BFA Applied Art': {'duration': '4 Years', 'fees': '4.80 Lakhs'}, 'M.Des User Interfcae': {'duration': '2 Years', 'fees': '3 Lakhs'}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Chitkara School of Mass Communication, Jhansla",None,,"{'BA Journalism and Mass Communication': {'duration': '3 Years', 'fees': '3.60 Lakhs'}, 'MA Journalism and Mass Communication': {'duration': '2 Years', 'fees': '2.40 Lakhs'}, 'Ph.D Mass Communication': {'duration': '6 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Sri Siddhartha Center for Media Studies, Tumkur",None,,"{'MS Communication': {'duration': '2 Years', 'fees': None}, 'MS Electronic Media': {'duration': '2 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"APS College of Arts and Science, Bangalore",None,,"{'BA History, Economics and Kannada': {'duration': '3 Years', 'fees': None}, 'BA History, Economics and Music': {'duration': '3 Years', 'fees': None}, 'BA Sociology, Psychology and Economics': {'duration': '3 Years', 'fees': None}, 'BA-History, Economics and Political Science': {'duration': '3 Years', 'fees': None}, 'BA-History, Economics and Sociology': {'duration': '3 Years', 'fees': None}, 'BA-Sociology, Psychology and Kannada': {'duration': '3 Years', 'fees': None}, 'BA-Sociology, Psychology and Music': {'duration': '3 Years', 'fees': None}, 'B.Sc Botany, Chemistry and Zoology': {'duration': '3 Years', 'fees': None}, 'B.Sc Physics, Chemistry and Mathematics': {'duration': '3 Years', 'fees': None}, 'BA Journalism, Economics and Kannada': {'duration': '3 Years', 'fees': None}, 'BCA': {'duration': '3 Years', 'fees': None}, 'MA Economics': {'duration': '2 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"CREO Valley School of Film and Television, Bangalore",None,,"{'Bachelors of Film Making': {'duration': '3 Years', 'fees': None}, 'Bachelors of Graphics Design': {'duration': '3 Years', 'fees': None}, 'Bachelors of Interior and Product Design': {'duration': '3 Years', 'fees': None}, 'BFAD': {'duration': '3 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Delhi School of Journalism, Delhi",None,,"{'Bachelor of Journalism and Master of Journalism Integrated': {'duration': '5 Years', 'fees': '3.48 Lakhs'}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"St Paul's College, Bangalore",None,,"{'B.Com': {'duration': '3 Years', 'fees': None}, 'BA-History, Economics and Journalism': {'duration': '3 Years', 'fees': None}, 'BA-Journalism, History and Tourism': {'duration': '3 Years', 'fees': None}, 'BA-Journalism, Psychology and English': {'duration': '3 Years', 'fees': None}, 'BA-Kannada, Journalism and Political Science': {'duration': '3 Years', 'fees': None}, 'BBA': {'duration': '3 Years', 'fees': None}, 'BVA Multimedia and Animation': {'duration': '3 Years', 'fees': None}, 'PGD Film Acting': {'duration': None, 'fees': None}, 'BA-Journalism, Political Science and English Literature': {'duration': '3 Years', 'fees': None}, 'BA-Journalism, Psychology and Computer Science': {'duration': '3 Years', 'fees': None}, 'BBA Aviation': {'duration': '3 Years', 'fees': None}, 'MA Journalism and Mass Communication': {'duration': '2 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"SJVP College Autonomous, Harihar",None,,"{'B.Com': {'duration': '3 Years', 'fees': None}, 'B.Sc': {'duration': '3 Years', 'fees': None}, 'B.Sc Biotechnology': {'duration': '3 Years', 'fees': None}, 'B.Sc Computer Science': {'duration': '3 Years', 'fees': None}, 'BA': {'duration': '3 Years', 'fees': None}, 'BA Journalism': {'duration': '3 Years', 'fees': None}, 'BA Tourism': {'duration': '3 Years', 'fees': None}, 'BBM': {'duration': '3 Years', 'fees': None}, 'BCA': {'duration': '3 Years', 'fees': None}, 'M.Sc Computer Science': {'duration': '2 Years', 'fees': None}, 'MA English': {'duration': '2 Years', 'fees': None}, 'MA Kannada': {'duration': '2 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Sankaradeva Mahavidyalaya, Lakhimpur",None,,"{'BA': {'duration': '3 Years', 'fees': None}, 'BA Assamese Major': {'duration': '3 Years', 'fees': None}, 'BA Economics Major': {'duration': '3 Years', 'fees': None}, 'BA Education Major': {'duration': '3 Years', 'fees': None}, 'BA English Major': {'duration': '3 Years', 'fees': None}, 'BA Geography Major': {'duration': '3 Years', 'fees': None}, 'BA Hindi Major': {'duration': '3 Years', 'fees': None}, 'BA History Major': {'duration': '3 Years', 'fees': None}, 'BA Political Science Major': {'duration': '3 Years', 'fees': None}, 'BA Sociology Major': {'duration': '3 Years', 'fees': None}, 'Diploma in Journalism': {'duration': '2 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Shashi School of Business and Media, Danapur",None,,"{'BBA': {'duration': '3 Years', 'fees': '1.43 Lakhs'}, 'BCA': {'duration': '3 Years', 'fees': '1.43 Lakhs'}, 'BMMC': {'duration': '2 Years', 'fees': None}, 'Diploma in Brand Management': {'duration': None, 'fees': None}, 'Diploma in Business': {'duration': None, 'fees': None}, 'Diploma in Business and Communication': {'duration': None, 'fees': None}, 'Diploma in Customer and Relationship Management': {'duration': None, 'fees': None}, 'Diploma in Financial': {'duration': None, 'fees': None}, 'Diploma in Human Resource Management': {'duration': None, 'fees': None}, 'Diploma in IT Management': {'duration': None, 'fees': None}, 'Diploma in Logistics': {'duration': None, 'fees': None}, 'Diploma in Management': {'duration': None, 'fees': None}, 'Diploma in Marketing': {'duration': None, 'fees': None}, 'Diploma in Material': {'duration': None, 'fees': None}, 'Diploma in Operation': {'duration': None, 'fees': None}, 'Diploma in Retail Management': {'duration': None, 'fees': None}, 'Diploma in Supply Chain': {'duration': None, 'fees': None}, 'Diploma in Web Journalism': {'duration': None, 'fees': None}, 'MBA': {'duration': '2 Years', 'fees': '2.25 Lakhs'}, 'MMMC': {'duration': '3 Years', 'fees': None}, 'PG Diploma in Broadcast Journalism': {'duration': None, 'fees': None}, 'PGD Advertising and Event Planning': {'duration': None, 'fees': None}, 'PGD Brand Management': {'duration': None, 'fees': None}, 'PGD Corporate Communication': {'duration': None, 'fees': None}, 'PGD Media Management': {'duration': None, 'fees': None}, 'PGD Print Journalism': {'duration': None, 'fees': None}, 'PGD Public Relations and Marketing Communications': {'duration': None, 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Mehr Chand Mahajan DAV College for Women, Chandigarh",None,,"{'BA': {'duration': '3 Years', 'fees': '49.26 K'}, 'B.Com': {'duration': '3 Years', 'fees': '69.93 K'}, 'B.Sc Medical': {'duration': '3 Years', 'fees': '60.03 K'}, 'B.Sc Non Medical': {'duration': '3 Years', 'fees': '57.87 K'}, 'BCA': {'duration': '3 Years', 'fees': '1.10 Lakhs'}, 'B.Sc Microbial and Food Technology': {'duration': '3 Years', 'fees': '1.10 Lakhs'}, 'MA Economics': {'duration': '2 Years', 'fees': '39.27 K'}, 'MA English': {'duration': '2 Years', 'fees': '39.27 K'}, 'MA Hindi': {'duration': '2 Years', 'fees': '39.27 K'}, 'MA Sociology': {'duration': '2 Years', 'fees': '39.27 K'}, 'B.Sc Computer Applications': {'duration': '3 Years', 'fees': '75.87 K'}, 'BBA': {'duration': '3 Years', 'fees': '93.60 K'}, 'M.Com': {'duration': '2 Years', 'fees': '49.03 K'}, 'M.Sc Chemistry': {'duration': '2 Years', 'fees': '42.60 K'}, 'M.Sc Mathematics': {'duration': '2 Years', 'fees': '44.95 K'}, 'MA Psychology': {'duration': '2 Years', 'fees': '43.47 K'}, 'BA Functional English': {'duration': '3 Years', 'fees': None}, 'BA Office Management and Secretarial Practice': {'duration': '3 Years', 'fees': '58.26 K'}, 'PG Diploma in Mass Communication': {'duration': None, 'fees': '24.49 K'}, 'PGDCA': {'duration': None, 'fees': '24.49 K'}, 'B.Com Accounting and Finance Hons': {'duration': '3 Years', 'fees': None}, 'B.Com Economics Hons': {'duration': '3 Years', 'fees': None}, 'B.Com Management Studies Hons': {'duration': '3 Years', 'fees': None}, 'B.Sc Physics Hons': {'duration': '3 Years', 'fees': None}, 'BA Economics Hons': {'duration': '3 Years', 'fees': None}, 'BA English Hons': {'duration': '3 Years', 'fees': None}, 'BA Hindi Hons': {'duration': '3 Years', 'fees': None}, 'BA History Hons': {'duration': '3 Years', 'fees': None}, 'BA Political Science Hons': {'duration': '3 Years', 'fees': None}, 'BA Psychology Hons': {'duration': '3 Years', 'fees': None}}","{'averagePackage': {'B.B.A': {'2019': '240000', '2018': '185000'}, 'P.G.D': {'2019': '180000', '2018': '180000'}}, 'topRecruiters': {}}",{},
"Indira Gandhi Government College, Tezu",None,,"{'Advanced PGD in Biodiversity': {'duration': None, 'fees': None}, 'Advanced PGD in Disaster Management': {'duration': None, 'fees': None}, 'B.Ed': {'duration': '2 Years', 'fees': None}, 'B.P.Ed': {'duration': '2 Years', 'fees': None}, 'BCA': {'duration': '3 Years', 'fees': None}, 'M.Com': {'duration': '2 Years', 'fees': None}, 'M.Ed': {'duration': '2 Years', 'fees': None}, 'M.Sc Botany': {'duration': '2 Years', 'fees': None}, 'M.Sc Chemistry': {'duration': '2 Years', 'fees': None}, 'M.Sc Mathematics and Computing': {'duration': '2 Years', 'fees': None}, 'M.Sc Physics': {'duration': '2 Years', 'fees': None}, 'M.Sc Zoology': {'duration': '2 Years', 'fees': None}, 'M.Tech Electronics and Communication Engineering': {'duration': '2 Years', 'fees': None}, 'MA Anthropology': {'duration': '2 Years', 'fees': None}, 'MA Economics': {'duration': '2 Years', 'fees': None}, 'MA Education': {'duration': '2 Years', 'fees': None}, 'MA English': {'duration': '2 Years', 'fees': None}, 'MA Geography': {'duration': '2 Years', 'fees': None}, 'MA Hindi': {'duration': '2 Years', 'fees': None}, 'MA History': {'duration': '2 Years', 'fees': None}, 'MA Mass Communication': {'duration': '2 Years', 'fees': None}, 'MA Political Science': {'duration': '2 Years', 'fees': None}, 'MA Sociology': {'duration': '2 Years', 'fees': None}, 'MA Tribal Studies': {'duration': '2 Years', 'fees': None}, 'MBA': {'duration': '2 Years', 'fees': None}, 'MCA': {'duration': '3 Years', 'fees': None}, 'MSW': {'duration': '2 Years', 'fees': None}, 'PGD in Banking Insurance': {'duration': None, 'fees': None}, 'PGD in Functional Hindi': {'duration': None, 'fees': None}, 'PGD in Geoinformatics': {'duration': None, 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Rabindrasadan Girls College, Karimganj",None,,"{'BA': {'duration': '3 Years', 'fees': '9.62 K'}, 'B.Com': {'duration': '3 Years', 'fees': '9.62 K'}, 'B.Voc Computer Applications': {'duration': '3 Years', 'fees': None}, 'B.Sc': {'duration': '3 Years', 'fees': '9.62 K'}, 'BA Bengali Hons': {'duration': '3 Years', 'fees': '9.86 K'}, 'BA Economics Hons': {'duration': '3 Years', 'fees': '9.86 K'}, 'BA Education Hons': {'duration': '3 Years', 'fees': '9.86 K'}, 'BA English Hons': {'duration': '3 Years', 'fees': '9.86 K'}, 'BA History Hons': {'duration': '3 Years', 'fees': '9.86 K'}, 'BA Mass Communication Hons': {'duration': '3 Years', 'fees': None}, 'BA Mathematics Hons': {'duration': '3 Years', 'fees': '9.86 K'}, 'BA Philosophy Hons': {'duration': '3 Years', 'fees': '9.86 K'}, 'BA Political Science Hons': {'duration': '3 Years', 'fees': '9.86 K'}, 'BA Sanskrit Hons': {'duration': '3 Years', 'fees': '9.86 K'}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Nirmala Institute of Education, Panjim",None,,"{'B.Ed': {'duration': '2 Years', 'fees': None}, 'D.El.Ed': {'duration': '2 Years', 'fees': None}, 'MA Wellness Counselling': {'duration': '2 Years', 'fees': None}, 'PGD Guidance and Counselling': {'duration': '2 Years', 'fees': None}, 'M.Ed': {'duration': '2 Years', 'fees': None}, 'B.Ed Special Education': {'duration': '2 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Centre for Management Studies and Research, Ganpat University, Mehsana",None,,"{'MBA Financial Services': {'duration': '2 Years', 'fees': None}, 'BBA': {'duration': '3 Years', 'fees': None}, 'MBA Agribusiness': {'duration': '2 Years', 'fees': None}, 'MBA International Business': {'duration': '2 Years', 'fees': None}, 'MBA Pharmaceuticals': {'duration': '2 Years', 'fees': None}, 'MMS Family Business and Entrepreneurship': {'duration': '2 Years', 'fees': None}, 'MBA Business Analytics': {'duration': '2 Years', 'fees': None}, 'MBA Hospitality and Tourism Management': {'duration': '2 Years', 'fees': None}, 'Post Graduate Diploma in Digital Marketing': {'duration': None, 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"School of Liberal Studies, Pandit Deendayal Petroleum University, Gandhinagar",None,,"{'BA Economics Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'BA English Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'BA Governance  and Public Administration Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'BA Mass Communication Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'BA Political Science in International Relations Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'BA Psychology Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'B.Com Banking and Insurance Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'B.Com Entrepreneurship and International Trade Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'B.Com Finance and Accounting Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'B.Com Marketing and Management Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'B.Sc Chemistry Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'B.Sc Mathematics Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'B.Sc Physics Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'M.Sc Finance': {'duration': '2 Years', 'fees': None}, 'MA Economics': {'duration': '2 Years', 'fees': None}, 'MA English': {'duration': '2 Years', 'fees': '1.65 Lakhs'}, 'MA Media and Communication': {'duration': '2 Years', 'fees': None}, 'MA Political Science International Relations': {'duration': '2 Years', 'fees': '1.65 Lakhs'}, 'MA Psychology': {'duration': '2 Years', 'fees': '1.65 Lakhs'}, 'MA Public Administration': {'duration': '2 Years', 'fees': '1.65 Lakhs'}, 'BBA Finance Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'BBA Human Resource Management Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'BBA Marketing Hons': {'duration': '3 Years', 'fees': '5.89 Lakhs'}, 'Ph.D Business Administration': {'duration': '6 Years', 'fees': None}, 'Ph.D Commerce': {'duration': '6 Years', 'fees': None}, 'Ph.D Economics': {'duration': '6 Years', 'fees': None}, 'Ph.D English': {'duration': '6 Years', 'fees': None}, 'Ph.D International Relations': {'duration': '6 Years', 'fees': None}, 'Ph.D Mass Communication': {'duration': '6 Years', 'fees': None}, 'Ph.D Psychology': {'duration': '6 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Parul Institute of Design, Vadodara",None,,"{'Diploma in Fashion Design and Technology': {'duration': '3 Years', 'fees': None}, 'B.Sc Direction and Cinematography': {'duration': '3 Years', 'fees': None}, 'B.Sc Animation': {'duration': '3 Years', 'fees': None}, 'Diploma in Interior and Furniture Design': {'duration': '3 Years', 'fees': None}, 'B.Des Fashion Design and Technology': {'duration': '4 Years', 'fees': None}, 'B.Des Fashion Design and Technology Lateral Entry': {'duration': '3 Years', 'fees': None}, 'B.Des Interior and Furniture Design': {'duration': '4 Years', 'fees': None}, 'B.Des Interior and Furniture Design Lateral Entry': {'duration': '3 Years', 'fees': None}, 'B.Des Product Design': {'duration': '4 Years', 'fees': None}, 'B.Des Product Design Lateral Entry': {'duration': '3 Years', 'fees': None}, 'B.Des Visual Communication': {'duration': '4 Years', 'fees': None}, 'B.Des Visual Communication Lateral Entry': {'duration': '3 Years', 'fees': None}, 'B.Sc Film Editing and Sound Design': {'duration': '3 Years', 'fees': None}, 'Diploma in Product Design': {'duration': '3 Years', 'fees': None}, 'Diploma in Visual Communication': {'duration': '3 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Parul Institute of Arts, Vadodara",None,,"{'MA Clinical Psychology': {'duration': '2 Years', 'fees': None}, 'BA Economics': {'duration': '3 Years', 'fees': '1.20 Lakhs'}, 'BA English': {'duration': '3 Years', 'fees': '1.20 Lakhs'}, 'BA Linguistics': {'duration': '3 Years', 'fees': '1.20 Lakhs'}, 'BA Mass Communication and Journalism': {'duration': '3 Years', 'fees': '1.20 Lakhs'}, 'BA Political Science': {'duration': '3 Years', 'fees': '1.20 Lakhs'}, 'BA Psychology': {'duration': '3 Years', 'fees': '1.20 Lakhs'}, 'BA Sociology': {'duration': '3 Years', 'fees': '1.20 Lakhs'}, 'MA Counselling Psychology': {'duration': '2 Years', 'fees': None}, 'MA Economics': {'duration': '2 Years', 'fees': None}, 'MA English': {'duration': '2 Years', 'fees': None}, 'MA English Language Teaching': {'duration': '2 Years', 'fees': None}, 'MA Mass Communication and Journalism': {'duration': '2 Years', 'fees': None}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"Rajeev Lochanacharya Mahavidhyalaya, Khurai",None,,"{'BA': {'duration': '3 Years', 'fees': '10.50 K'}, 'B.Ed': {'duration': '2 Years', 'fees': None}, 'B.Com': {'duration': '3 Years', 'fees': '10.50 K'}, 'B.Com Computer Application': {'duration': '3 Years', 'fees': '25.50 K'}, 'B.Sc Computer': {'duration': '3 Years', 'fees': '28.50 K'}, 'BBA': {'duration': '3 Years', 'fees': None}, 'BCA': {'duration': '3 Years', 'fees': None}, 'M.Com': {'duration': '2 Years', 'fees': None}, 'PGDCA': {'duration': None, 'fees': None}, 'D.Ed': {'duration': '2 Years', 'fees': None}, 'MA Economics': {'duration': '2 Years', 'fees': None}, 'MA Sociology': {'duration': '2 Years', 'fees': None}, 'B.Lib.I.Sc': {'duration': None, 'fees': None}, 'BJC': {'duration': '3 Years', 'fees': None}, 'BA Computer': {'duration': '3 Years', 'fees': '25.50 K'}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
"SICA College, Indore",None,,"{'B.Com': {'duration': '3 Years', 'fees': '37.50 K'}, 'B.Com Computer Applications': {'duration': '3 Years', 'fees': '43.50 K'}, 'B.Com Hons': {'duration': '3 Years', 'fees': '67.50 K'}, 'B.Com Taxation': {'duration': '3 Years', 'fees': '43.50 K'}, 'B.Sc-Mathematics, Physics and Computer Science': {'duration': '3 Years', 'fees': '43.50 K'}, 'B.Sc-Mathematics, Physics and Statistics': {'duration': '3 Years', 'fees': '43.50 K'}, 'BA Mass Communication Hons': {'duration': '3 Years', 'fees': '67.50 K'}, 'BBA': {'duration': '3 Years', 'fees': '82.50 K'}}","{'averagePackage': {}, 'topRecruiters': {}}",{},
